,CodigoParlamentar,CodigoMateria,interesse,justificativa_interesse
31020,6304.0,157179,6,Discursou sobre a matéria (Discussão) há menos de 1 ano
31021,6304.0,157198,19,Autor principal da matéria há menos de 1 ano - Discursou sobre a matéria (Discurso) há menos de 1 ano - Discursou sobre a matéria (Pela ordem) há menos de 1 ano
31022,6304.0,157251,6,Discursou sobre a matéria (Discussão) há menos de 1 ano
31023,6304.0,157365,6,Discursou sobre a matéria (Pela ordem) há menos de 1 ano
31024,6304.0,157368,7,Autor de emenda há menos de 1 ano
31025,6304.0,157372,0,Co-autor de PEC
31026,6304.0,157806,-5,Foi relator mas houve redistribuição da relatoria em CRA
31027,6304.0,157895,0,Co-autor de PEC
31028,6304.0,158306,0,Co-autor de PEC
31029,6304.0,158350,5,Co-autor da matéria há menos de 1 ano
31030,6304.0,158372,-5,Foi relator mas houve redistribuição da relatoria em CI
31031,6304.0,158584,0,Co-autor de PEC
31032,6304.0,158638,7,Autor principal da matéria há menos de 1 ano
31033,6304.0,158851,7,Autor principal da matéria há menos de 1 ano
31034,6304.0,158891,6,Discursou sobre a matéria (Pela ordem) há menos de 1 ano
31035,6304.0,159049,6,Discursou sobre a matéria (Discussão) há menos de 1 ano
31036,6304.0,159076,4,Relator atual designado há menos de 1 ano em CCDD
31037,6304.0,159086,4,Relator atual designado há menos de 1 ano em CCDD
31038,6304.0,159093,0,Co-autor de PEC
31039,6304.0,159094,0,Co-autor de PEC
31040,6304.0,159095,0,Co-autor de PEC
31041,6304.0,159238,4,Relator atual designado há menos de 1 ano em CCDD
31042,6304.0,159243,4,Relator atual designado há menos de 1 ano em CCDD
31043,6304.0,159244,4,Relator atual designado há menos de 1 ano em CCDD
31044,6304.0,159420,4,Relator atual designado há menos de 1 ano em CCDD
31045,6304.0,159422,4,Relator atual designado há menos de 1 ano em CCDD
31046,6304.0,159661,13,Autor principal da matéria há menos de 1 ano - Discursou sobre a matéria (Discurso) há menos de 1 ano
31047,6304.0,159924,0,Co-autor de PEC
31048,6304.0,159966,0,Co-autor de PEC
31049,6304.0,160011,0,Co-autor de PEC
31050,6304.0,160083,0,Co-autor de PEC
31051,6304.0,160148,0,Co-autor de PEC
31052,6304.0,160194,5,Co-autor da matéria há menos de 1 ano
31053,6304.0,160197,7,Autor de emenda há menos de 1 ano
31054,6304.0,160374,0,Co-autor de PEC
31055,6304.0,160392,0,Co-autor de PEC
31056,6304.0,160593,0,Co-autor de PEC
31057,6304.0,160684,0,Co-autor de PEC
31058,6304.0,160728,0,Co-autor de PEC
31059,6304.0,160956,0,Co-autor de PEC
31060,6304.0,160976,0,Co-autor de PEC
31061,6331.0,132863,6,Discursou sobre a matéria (Pela ordem) há menos de 1 ano
31062,6331.0,135113,-5,Foi relator mas houve redistribuição da relatoria em CAE
31063,6331.0,135520,4,Relator atual designado há menos de 1 ano em CAE
31064,6331.0,136048,7,Autor de emenda há menos de 1 ano
31065,6331.0,136476,7,Autor de emenda há menos de 1 ano
31066,6331.0,137585,4,Relator atual designado há menos de 1 ano em CRA
31067,6331.0,138147,14,Relatou a matéria há menos de 1 ano em CAE - Autor de emenda há menos de 1 ano
31068,6331.0,139988,-5,Foi relator mas houve redistribuição da relatoria em CRA
31069,6331.0,141944,12,Discursou sobre a matéria (Pela ordem) há menos de 1 ano - Discursou sobre a matéria (Discurso) há menos de 1 ano
31070,6331.0,144704,-5,Foi relator mas houve redistribuição da relatoria em CSP
31071,6331.0,145030,4,Relator atual designado há menos de 1 ano em CSP
31072,6331.0,146367,6,Discursou sobre a matéria (Discussão) há menos de 1 ano
31073,6331.0,147135,4,Relator atual designado há menos de 1 ano em CSP
31074,6331.0,148161,21,Relatou a matéria há menos de 1 ano em CCJ - Relatou a matéria há menos de 1 ano em CSP - Autor de emenda há menos de 1 ano
31075,6331.0,149188,4,Relator atual designado há menos de 1 ano em CSP
31076,6331.0,149870,7,Relatou a matéria há menos de 1 ano em CAE
31077,6331.0,150077,7,Autor de emenda há menos de 1 ano
31078,6331.0,150299,-5,Foi relator mas houve redistribuição da relatoria em CSP
31079,6331.0,154354,7,Autor de emenda há menos de 1 ano
31080,6331.0,154402,14,Relatou a matéria há menos de 1 ano em CCJ - Autor de emenda há menos de 1 ano
31081,6331.0,154406,6,Discursou sobre a matéria (Discussão) há menos de 1 ano
31082,6331.0,154430,6,Discursou sobre a matéria (Discussão) há menos de 1 ano
31083,6331.0,155136,4,Relator atual designado há menos de 1 ano em CCJ
31084,6331.0,155324,7,Autor de emenda há menos de 1 ano
31085,6331.0,155458,6,Discursou sobre a matéria (Discurso) há menos de 1 ano
31086,6331.0,155651,6,Discursou sobre a matéria (Discussão) há menos de 1 ano
31087,6331.0,155750,5,Co-autor da matéria há menos de 1 ano
31088,6331.0,155800,7,Autor principal da matéria há menos de 1 ano
31089,6331.0,155883,6,Discursou sobre a matéria (Pela ordem) há menos de 1 ano
31090,6331.0,155915,6,Discursou sobre a matéria (Discussão) há menos de 1 ano
31091,6331.0,155952,0,Co-autor de PEC
31092,6331.0,156182,6,Discursou sobre a matéria (Discurso) há menos de 1 ano
31093,6331.0,156252,4,Relator atual designado há menos de 1 ano em CRE
31094,6331.0,156398,13,Autor principal da matéria há menos de 1 ano - Discursou sobre a matéria (Discurso) há menos de 1 ano
31095,6331.0,156424,0,Co-autor de PEC
31096,6331.0,156437,0,Co-autor de PEC
31097,6331.0,156460,7,Autor de emenda há menos de 1 ano
31098,6331.0,156587,7,Autor de emenda há menos de 1 ano
31099,6331.0,156651,0,Co-autor de PEC
31100,6331.0,156667,0,Co-autor de PEC
31101,6331.0,156753,5,Co-autor da matéria há menos de 1 ano
31102,6331.0,156810,0,Co-autor de PEC
31103,6331.0,156877,20,Relatou a matéria há menos de 1 ano em CCJ - Discursou sobre a matéria (Discurso) há menos de 1 ano - Autor de emenda há menos de 1 ano
